Date,Drawdown
1997-05-15,0.0
1997-05-16,-11.702769331490009
1997-05-19,-12.7659096877029
1997-05-20,-16.489472802758932
1997-05-21,-27.128074552527252
1997-05-22,-28.72330250413991
1997-05-23,-23.404511437471225
1997-05-27,-19.148868336093273
1997-05-28,-21.808263869427616
1997-05-29,-23.13898505706466
1997-05-30,-23.404511437471225
1997-06-02,-22.872431451149303
1997-06-03,-24.46867901919291
1997-06-04,-27.660162147927014
1997-06-05,-21.277203499536647
1997-06-06,-15.425305221037245
1997-06-09,-13.830077269424587
1997-06-10,-19.148868336093273
1997-06-11,-21.277203499536647
1997-06-12,-18.085720370802537
1997-06-13,-19.148868336093273
1997-06-16,-19.68095593149304
1997-06-17,-23.13898505706466
1997-06-18,-22.872431451149303
1997-06-19,-22.872431451149303
1997-06-20,-22.07481747534297
1997-06-23,-23.404511437471225
1997-06-24,-22.872431451149303
1997-06-25,-22.872431451149303
1997-06-26,-22.872431451149303
1997-06-27,-23.93659903287099
1997-06-30,-21.277203499536647
1997-07-01,-22.606897461664897
1997-07-02,-18.88334195568671
1997-07-03,-2.393861543849936
1997-07-07,0.0
1997-07-08,0.0
1997-07-09,0.0
1997-07-10,0.0
1997-07-11,-10.569363351434925
1997-07-14,-16.666534858018245
1997-07-15,-4.878044241882981
1997-07-16,-8.94282524627186
1997-07-17,-13.414243684495219
1997-07-18,-15.853265805436711
1997-07-21,-14.837073461883207
1997-07-22,-16.666534858018245
1997-07-23,-10.569363351434925
1997-07-24,-11.788484801047833
1997-07-25,-13.008385472376416
1997-07-28,-9.349462680106342
1997-07-29,-3.252291173523023
1997-07-30,-4.47141262313593
1997-07-31,-6.50380312533037
1997-08-01,-5.691313294464514
1997-08-04,-9.756094298853393
1997-08-05,-13.820875303242271
1997-08-06,-12.195122234882314
1997-08-07,-15.040775974570856
1997-08-08,-10.569363351434925
1997-08-11,-9.14653357404694
1997-08-12,-14.227512737076752
1997-08-13,-14.227512737076752
1997-08-14,-15.853265805436711
1997-08-15,-17.479803910599774
1997-08-18,-20.325463465375748
1997-08-19,-15.447413408405335
1997-08-20,-15.447413408405335
1997-08-21,-17.479803910599774
1997-08-22,-17.073166476765294
1997-08-25,-13.414243684495219
1997-08-26,-8.536193627524808
1997-08-27,-9.55317100788142
1997-08-28,-7.317072177911903
1997-08-29,-8.739901955299887
1997-09-02,-8.130341230493435
1997-09-03,-8.94282524627186
1997-09-04,-0.4066374338344814
1997-09-05,-2.4390221209414906
1997-09-08,0.0
1997-09-09,0.0
1997-09-10,0.0
1997-09-11,-4.416006870794089
1997-09-12,0.0
1997-09-15,-16.10142471666781
1997-09-16,-9.039733223353673
1997-09-17,-7.626848582464177
1997-09-18,-10.73464683379728
1997-09-19,0.0
1997-09-22,0.0
1997-09-23,0.0
1997-09-24,-5.405406624492354
1997-09-25,-11.824433715608523
1997-09-26,-9.910054981256756
1997-09-29,-12.612755071630282
1997-09-30,-6.193727980514114
1997-10-01,-13.062921561899424
1997-10-02,-13.288214228756178
1997-10-03,-13.175783760795287
1997-10-06,-10.810813248984708
1997-10-07,-12.274593762132364
1997-10-08,-13.401082871397344
1997-10-09,-18.918919963850588
1997-10-10,-15.653191184312057
1997-10-13,-13.513513339358235
1997-10-14,-13.964111560562346
1997-10-15,-15.202592963107946
1997-10-16,-21.621620054224117
1997-10-17,-21.621620054224117
1997-10-20,-17.34227080806177
1997-10-21,-4.279355689907645
1997-10-22,-2.2521083129147157
1997-10-23,-2.7027065341188257
1997-10-24,0.0
1997-10-27,-15.025747435811077
1997-10-28,-1.5543038337363868
1997-10-29,0.0
1997-10-30,-4.927454345220457
1997-10-31,-5.700279523571533
1997-11-03,-5.8935798035373885
1997-11-04,-8.019119943033804
1997-11-05,-9.565135184145
1997-11-06,-13.526464071048522
1997-11-07,-16.908262531015176
1997-11-10,-21.932173516910733
1997-11-11,-26.763160164352783
1997-11-12,-30.048126042131983
1997-11-13,-28.405643103242383
