Date,Drawdown
1980-12-12,0.0
1980-12-15,-5.217094296107884
1980-12-16,-12.173950498057192
1980-12-17,-10.000204028890492
1980-12-18,-7.390855878525733
1980-12-19,-1.7390742529142127
1980-12-22,0.0
1980-12-23,0.0
1980-12-24,0.0
1980-12-26,0.0
1980-12-29,0.0
1980-12-30,-2.4304093372443702
1980-12-31,-5.208061389905049
1981-01-02,-4.1664539397685365
1981-01-05,-6.249632631207839
1981-01-06,-10.41672626037217
1981-01-07,-14.235865067056949
1981-01-08,-15.971867425941772
1981-01-09,-11.458255258035615
1981-01-12,-12.15269844522889
1981-01-13,-15.277484586804704
1981-01-14,-14.930284115027739
1981-01-15,-13.194251582114816
1981-01-16,-13.888640456057502
1981-01-19,-8.680675623042385
1981-01-20,-11.458255258035615
1981-01-21,-9.722289107984519
1981-01-22,-8.680675623042385
1981-01-23,-9.027845920791245
1981-01-26,-10.41672626037217
1981-01-27,-11.11104271664741
1981-01-28,-13.888640456057502
1981-01-29,-17.013462806467043
1981-01-30,-21.527726733380238
1981-02-02,-26.041302692452668
1981-02-03,-23.26367477901447
1981-02-04,-20.486083074409997
1981-02-05,-20.486083074409997
1981-02-06,-20.138882602633036
1981-02-09,-24.305312403179087
1981-02-10,-24.305312403179087
1981-02-11,-26.735709670812213
1981-02-12,-27.4307382341507
1981-02-13,-29.166722488618657
1981-02-17,-27.4307382341507
1981-02-18,-24.305312403179087
1981-02-19,-28.819552190869796
1981-02-20,-32.63875738041641
1981-02-23,-31.59715596508551
1981-02-24,-34.0275411631074
1981-02-25,-29.86113550178383
1981-02-26,-28.819552190869796
1981-02-27,-26.388503164229633
1981-03-02,-26.041302692452668
1981-03-03,-27.082922212200423
1981-03-04,-27.777944740733286
1981-03-05,-28.12515728212149
1981-03-06,-28.819552190869796
1981-03-09,-34.37473560007874
1981-03-10,-37.500173500661596
1981-03-11,-39.930540594266624
1981-03-12,-37.500173500661596
1981-03-13,-38.19458047902115
1981-03-16,-35.763519382769736
1981-03-17,-32.63875738041641
1981-03-18,-28.472345684287216
1981-03-19,-29.166722488618657
1981-03-20,-28.472345684287216
1981-03-23,-25.694132394703807
1981-03-24,-26.041302692452668
1981-03-25,-27.4307382341507
1981-03-26,-28.819552190869796
1981-03-27,-31.24997359772541
1981-03-30,-31.24997359772541
1981-03-31,-31.944338332445614
1981-04-01,-32.63875738041641
1981-04-02,-26.735709670812213
1981-04-03,-26.388503164229633
1981-04-06,-27.777944740733286
1981-04-07,-28.472345684287216
1981-04-08,-24.999713346733017
1981-04-09,-23.610911459625157
1981-04-10,-22.569310044294266
1981-04-13,-22.569310044294266
1981-04-14,-22.569310044294266
1981-04-15,-26.388503164229633
1981-04-16,-30.555548514949
1981-04-20,-28.472345684287216
1981-04-21,-23.610911459625157
1981-04-22,-20.833295615798203
1981-04-23,-18.75012295916452
1981-04-24,-19.44452390271845
1981-04-27,-20.138882602633036
1981-04-28,-21.527726733380238
1981-04-29,-22.569310044294266
1981-04-30,-21.180538331214514
1981-05-01,-21.180538331214514
1981-05-04,-21.527726733380238
1981-05-05,-21.874884961517854
1981-05-06,-23.9580757225684
1981-05-07,-22.91651655087685
1981-05-08,-22.2221095725173
1981-05-11,-23.9580757225684
1981-05-12,-23.9580757225684
1981-05-13,-24.305312403179087
1981-05-14,-25.346883644481878
1981-05-15,-23.610911459625157
1981-05-18,-22.2221095725173
1981-05-19,-23.610911459625157
1981-05-20,-21.180538331214514
1981-05-21,-16.66628043910694
1981-05-22,-12.847063179949092
1981-05-26,-13.194251582114816
1981-05-27,-8.333499290487904
1981-05-28,-8.333499290487904
1981-05-29,-7.986280714294076
1981-06-01,-7.986280714294076
1981-06-02,-12.499917021422716
1981-06-03,-12.499917021422716
1981-06-04,-10.763842244870446
1981-06-05,-12.15269844522889
1981-06-08,-15.277484586804704
1981-06-09,-13.541421879863677
1981-06-10,-12.499917021422716
1981-06-11,-8.680675623042385
1981-06-12,-9.722289107984519
1981-06-15,-10.069507684178344
1981-06-16,-11.805504008257545
1981-06-17,-13.194251582114816
1981-06-18,-13.541421879863677
1981-06-19,-15.971867425941772
1981-06-22,-19.097281187302144
1981-06-23,-17.708485334999903
1981-06-24,-19.791712304884175
1981-06-25,-18.05570994599935
1981-06-26,-19.097281187302144
1981-06-29,-21.874884961517854
1981-06-30,-27.777944740733286
1981-07-01,-28.472345684287216
1981-07-02,-28.472345684287216
1981-07-06,-30.90271881269786
1981-07-07,-30.208348043172034
1981-07-08,-27.4307382341507
1981-07-09,-32.98592767816527
1981-07-10,-38.19458047902115
1981-07-13,-36.805144937323114
1981-07-14,-34.0275411631074
1981-07-15,-32.29152673461134
1981-07-16,-30.555548514949
1981-07-17,-28.12515728212149
1981-07-20,-32.98592767816527
1981-07-21,-33.33315832397033
1981-07-22,-37.152985098495876
1981-07-23,-35.416349085020876
1981-07-24,-33.33315832397033
1981-07-27,-30.555548514949
1981-07-28,-32.98592767816527
1981-07-29,-34.0275411631074
1981-07-30,-31.59715596508551
1981-07-31,-30.555548514949
1981-08-03,-31.24997359772541
1981-08-04,-30.208348043172034
1981-08-05,-28.12515728212149
1981-08-06,-29.86113550178383
1981-08-07,-29.86113550178383
1981-08-10,-29.86113550178383
1981-08-11,-31.944338332445614
1981-08-12,-33.33315832397033
1981-08-13,-35.416349085020876
1981-08-14,-36.457932395934904
1981-08-17,-38.54176888118687
1981-08-18,-39.930540594266624
1981-08-19,-40.624983781459896
1981-08-20,-39.930540594266624
1981-08-21,-44.096958325201435
1981-08-24,-47.56959669756125
1981-08-25,-46.18016719066883
1981-08-26,-47.22242639981239
1981-08-27,-46.875201788812944
1981-08-28,-44.096958325201435
1981-08-31,-44.096958325201435
1981-09-01,-40.624983781459896
1981-09-02,-39.58341857496273
1981-09-03,-42.70820471653854
1981-09-04,-43.40258755567561
1981-09-08,-45.138565775337945
1981-09-09,-45.138565775337945
1981-09-10,-44.79138340797784
1981-09-11,-45.48577831672615
1981-09-14,-47.22242639981239
1981-09-15,-48.61121621730901
1981-09-16,-49.65283271965395
1981-09-17,-51.04161951974775
1981-09-18,-50.694409995762356
1981-09-21,-50.347215558791014
1981-09-22,-53.124816315603915
1981-09-23,-54.16640264392076
1981-09-24,-54.513633289725824
1981-09-25,-60.4166478078991
1981-09-28,-60.069441301316516
1981-09-29,-57.98624752286317
1981-09-30,-57.639065155503054
1981-10-01,-57.639065155503054
1981-10-02,-54.16640264392076
1981-10-05,-52.77761584382695
1981-10-06,-53.124816315603915
1981-10-07,-50.347215558791014
1981-10-08,-48.61121621730901
1981-10-09,-48.264039884754524
1981-10-12,-46.5273676624458
1981-10-13,-46.5273676624458
1981-10-14,-49.65283271965395
1981-10-15,-48.61121621730901
1981-10-16,-49.30561716086294
1981-10-19,-48.264039884754524
1981-10-20,-45.48577831672615
1981-10-21,-45.48577831672615
1981-10-22,-45.83300896253122
1981-10-23,-47.22242639981239
1981-10-26,-47.22242639981239
1981-10-27,-46.18016719066883
1981-10-28,-44.444207075423364
1981-10-29,-45.138565775337945
1981-10-30,-44.444207075423364
1981-11-02,-44.444207075423364
1981-11-03,-45.138565775337945
1981-11-04,-46.5273676624458
1981-11-05,-50.347215558791014
1981-11-06,-50.0
1981-11-09,-49.30561716086294
1981-11-10,-48.95841065428035
1981-11-11,-47.56959669756125
1981-11-12,-45.83300896253122
1981-11-13,-49.65283271965395
1981-11-16,-50.347215558791014
1981-11-17,-49.30561716086294
1981-11-18,-47.56959669756125
1981-11-19,-47.56959669756125
1981-11-20,-47.22242639981239
1981-11-23,-49.65283271965395
1981-11-24,-50.0
1981-11-25,-48.95841065428035
1981-11-27,-47.56959669756125
1981-11-30,-48.264039884754524
1981-12-01,-48.264039884754524
1981-12-02,-47.916809238949455
1981-12-03,-48.61121621730901
1981-12-04,-47.22242639981239
1981-12-07,-46.875201788812944
1981-12-08,-47.916809238949455
1981-12-09,-47.56959669756125
1981-12-10,-47.56959669756125
1981-12-11,-47.916809238949455
1981-12-14,-49.65283271965395
1981-12-15,-48.264039884754524
1981-12-16,-45.83300896253122
1981-12-17,-41.31941489904193
1981-12-18,-36.457932395934904
1981-12-21,-39.23618792915766
1981-12-22,-38.19458047902115
1981-12-23,-39.58341857496273
1981-12-24,-39.23618792915766
1981-12-28,-42.01376756415089
1981-12-29,-40.97217821843124
1981-12-30,-38.54176888118687
1981-12-31,-38.54176888118687
1982-01-04,-38.88898745738069
1982-01-05,-42.01376756415089
1982-01-06,-42.70820471653854
1982-01-07,-47.22242639981239
1982-01-08,-44.79138340797784
1982-01-11,-48.264039884754524
1982-01-12,-50.0
1982-01-13,-50.347215558791014
1982-01-14,-47.916809238949455
1982-01-15,-44.444207075423364
1982-01-18,-43.40258755567561
1982-01-19,-44.79138340797784
1982-01-20,-43.749788027452574
1982-01-21,-42.70820471653854
1982-01-22,-42.36098010553909
1982-01-25,-44.096958325201435
1982-01-26,-46.18016719066883
1982-01-27,-45.83300896253122
1982-01-28,-44.096958325201435
1982-01-29,-43.40258755567561
1982-02-01,-44.096958325201435
1982-02-02,-43.749788027452574
1982-02-03,-43.749788027452574
1982-02-04,-45.138565775337945
1982-02-05,-45.138565775337945
1982-02-08,-48.61121621730901
1982-02-09,-48.61121621730901
1982-02-10,-47.916809238949455
1982-02-11,-48.61121621730901
1982-02-12,-47.916809238949455
1982-02-16,-48.95841065428035
1982-02-17,-48.264039884754524
1982-02-18,-47.56959669756125
1982-02-19,-47.916809238949455
1982-02-22,-48.61121621730901
1982-02-23,-49.30561716086294
1982-02-24,-48.95841065428035
1982-02-25,-49.30561716086294
1982-02-26,-49.30561716086294
1982-03-01,-48.95841065428035
1982-03-02,-48.95841065428035
1982-03-03,-48.95841065428035
1982-03-04,-50.0
1982-03-05,-53.81920820694942
1982-03-08,-54.513633289725824
1982-03-09,-54.16640264392076
1982-03-10,-54.86081263968312
1982-03-11,-54.86081263968312
1982-03-12,-57.639065155503054
1982-03-15,-57.98624752286317
1982-03-16,-58.68064544901428
1982-03-17,-60.76386336669012
1982-03-18,-57.639065155503054
1982-03-19,-53.81920820694942
1982-03-22,-50.347215558791014
1982-03-23,-51.04161951974775
1982-03-24,-53.81920820694942
1982-03-25,-54.16640264392076
1982-03-26,-54.86081263968312
1982-03-29,-53.81920820694942
1982-03-30,-53.124816315603915
1982-03-31,-53.124816315603915
1982-04-01,-50.694409995762356
1982-04-02,-50.694409995762356
1982-04-05,-50.694409995762356
1982-04-06,-51.04161951974775
1982-04-07,-51.73600839369045
1982-04-08,-51.38881697412191
1982-04-12,-51.73600839369045
1982-04-13,-55.55521961804267
1982-04-14,-55.208034233279754
1982-04-15,-54.513633289725824
1982-04-16,-53.124816315603915
1982-04-19,-54.16640264392076
1982-04-20,-56.249626596402216
1982-04-21,-56.59744563575531
1982-04-22,-57.29183752710081
1982-04-23,-57.29183752710081
1982-04-26,-56.249626596402216
1982-04-27,-57.639065155503054
1982-04-28,-59.37506147958226
1982-04-29,-59.37506147958226
1982-04-30,-59.02785497299967
1982-05-03,-57.639065155503054
1982-05-04,-56.249626596402216
1982-05-05,-56.9446249857126
1982-05-06,-55.55521961804267
1982-05-07,-54.86081263968312
1982-05-10,-55.55521961804267
1982-05-11,-56.9446249857126
1982-05-12,-57.98624752286317
1982-05-13,-57.639065155503054
1982-05-14,-59.37506147958226
1982-05-17,-60.069441301316516
1982-05-18,-60.76386336669012
1982-05-19,-61.111054786258656
1982-05-20,-60.76386336669012
1982-05-21,-60.4166478078991
1982-05-24,-60.069441301316516
1982-05-25,-60.069441301316516
1982-05-26,-60.4166478078991
1982-05-27,-61.111054786258656
1982-05-28,-61.111054786258656
1982-06-01,-61.80545572981258
1982-06-02,-61.111054786258656
1982-06-03,-62.49985667336651
1982-06-04,-63.54146110610021
1982-06-07,-63.54146110610021
1982-06-08,-63.888646490863124
1982-06-09,-64.58306855623673
1982-06-10,-64.23585601484851
1982-06-11,-62.84706619735191
1982-06-14,-62.84706619735191
1982-06-15,-62.84706619735191
1982-06-16,-62.84706619735191
1982-06-17,-63.54146110610021
1982-06-18,-64.23585601484851
1982-06-21,-64.23585601484851
1982-06-22,-62.84706619735191
1982-06-23,-61.80545572981258
1982-06-24,-61.80545572981258
1982-06-25,-63.194251582114816
1982-06-28,-63.54146110610021
1982-06-29,-64.58306855623673
1982-06-30,-64.58306855623673
1982-07-01,-64.93025695840244
1982-07-02,-66.66689297187745
1982-07-06,-68.05567977197124
1982-07-07,-68.05567977197124
1982-07-08,-69.44449372869035
1982-07-09,-68.40289533076228
1982-07-12,-67.7084853349999
1982-07-13,-65.62465790195637
1982-07-14,-65.27746648238785
1982-07-15,-64.58306855623673
1982-07-16,-63.194251582114816
1982-07-19,-62.84706619735191
1982-07-20,-60.4166478078991
1982-07-21,-60.4166478078991
1982-07-22,-60.069441301316516
1982-07-23,-60.76386336669012
1982-07-26,-62.49985667336651
1982-07-27,-62.49985667336651
1982-07-28,-64.23585601484851
1982-07-29,-62.84706619735191
1982-07-30,-62.49985667336651
1982-08-02,-61.458258275438425
1982-08-03,-63.888646490863124
1982-08-04,-64.23585601484851
1982-08-05,-65.62465790195637
1982-08-06,-65.97186440853896
1982-08-09,-65.62465790195637
1982-08-10,-63.54146110610021
1982-08-11,-63.194251582114816
1982-08-12,-63.54146110610021
1982-08-13,-63.54146110610021
1982-08-16,-62.84706619735191
1982-08-17,-60.4166478078991
1982-08-18,-60.4166478078991
1982-08-19,-60.069441301316516
1982-08-20,-59.02785497299967
1982-08-23,-57.29183752710081
1982-08-24,-55.208034233279754
1982-08-25,-52.083226969884265
1982-08-26,-50.694409995762356
1982-08-27,-53.124816315603915
1982-08-30,-52.43040631984156
1982-08-31,-50.0
1982-09-01,-51.38881697412191
1982-09-02,-49.30561716086294
1982-09-03,-48.95841065428035
1982-09-07,-51.73600839369045
1982-09-08,-50.0
1982-09-09,-51.04161951974775
1982-09-10,-49.65283271965395
1982-09-13,-49.30561716086294
1982-09-14,-47.56959669756125
1982-09-15,-47.916809238949455
1982-09-16,-49.65283271965395
1982-09-17,-50.694409995762356
1982-09-20,-50.347215558791014
1982-09-21,-49.30561716086294
1982-09-22,-47.916809238949455
1982-09-23,-47.916809238949455
1982-09-24,-49.65283271965395
1982-09-27,-49.65283271965395
1982-09-28,-48.95841065428035
